,baron-human,segerstolpe,muraro,xin,pollen,li
human1_lib1.final_cell_0077,delta,delta,delta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0078,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0079,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0080,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0081,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0082,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0083,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0084,acinar,unassigned,acinar,unassigned,unassigned,unassigned
human1_lib1.final_cell_0085,activated_stellate,PSC,mesenchymal,unassigned,BJ,unassigned
human1_lib1.final_cell_0086,delta,delta,delta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0087,delta,delta,delta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0088,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0089,beta,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0090,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0091,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0092,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0093,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0094,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0095,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0096,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0097,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0098,delta,delta,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0099,delta,delta,delta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0100,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0101,delta,delta,delta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0102,alpha,alpha,alpha,unassigned,unassigned,unassigned
human1_lib1.final_cell_0103,alpha,alpha,alpha,unassigned,unassigned,unassigned
human1_lib1.final_cell_0104,delta,delta,delta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0105,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0106,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0107,beta,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0108,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0109,acinar,acinar,acinar,unassigned,unassigned,unassigned
human1_lib1.final_cell_0110,delta,delta,delta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0111,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0112,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0113,delta,delta,delta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0114,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0115,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0116,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0117,delta,delta,delta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0118,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0119,delta,delta,delta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0120,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0121,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0122,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0123,delta,delta,delta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0124,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0125,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0126,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0127,delta,co-expression,delta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0128,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0129,delta,delta,delta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0130,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0131,alpha,alpha,alpha,unassigned,unassigned,unassigned
human1_lib1.final_cell_0132,alpha,alpha,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0133,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0134,acinar,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0135,alpha,alpha,alpha,unassigned,unassigned,unassigned
human1_lib1.final_cell_0136,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0137,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0138,alpha,alpha,alpha,unassigned,unassigned,unassigned
human1_lib1.final_cell_0139,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0140,delta,delta,delta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0141,unassigned,beta,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0142,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0143,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0144,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0145,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0146,delta,delta,delta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0147,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0148,ductal,ductal,ductal,unassigned,unassigned,unassigned
human1_lib1.final_cell_0149,ductal,ductal,ductal,unassigned,unassigned,unassigned
human1_lib1.final_cell_0150,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0151,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0152,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0153,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0154,delta,delta,delta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0155,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0156,activated_stellate,PSC,mesenchymal,unassigned,unassigned,unassigned
human1_lib1.final_cell_0157,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0158,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0159,alpha,alpha,alpha,unassigned,unassigned,unassigned
human1_lib1.final_cell_0160,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0161,alpha,alpha,alpha,unassigned,unassigned,unassigned
human1_lib1.final_cell_0162,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0163,gamma,gamma,gamma,unassigned,unassigned,unassigned
human1_lib1.final_cell_0164,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0165,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0166,beta,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0167,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0168,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0169,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0170,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0171,acinar,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0172,unassigned,beta,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0173,acinar,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0174,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0175,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0176,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0177,acinar,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0178,delta,delta,delta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0179,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0180,delta,delta,delta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0181,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0182,acinar,unassigned,acinar,unassigned,unassigned,unassigned
human1_lib1.final_cell_0183,alpha,alpha,alpha,unassigned,unassigned,unassigned
human1_lib1.final_cell_0184,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0185,alpha,alpha,alpha,unassigned,unassigned,unassigned
human1_lib1.final_cell_0186,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0187,alpha,alpha,alpha,unassigned,unassigned,unassigned
human1_lib1.final_cell_0188,beta,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0189,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0190,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0191,alpha,alpha,alpha,unassigned,unassigned,unassigned
human1_lib1.final_cell_0192,delta,delta,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0193,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0194,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0195,delta,delta,delta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0196,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0197,gamma,gamma,gamma,unassigned,unassigned,unassigned
human1_lib1.final_cell_0198,alpha,alpha,alpha,unassigned,unassigned,unassigned
human1_lib1.final_cell_0199,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0200,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0201,delta,delta,delta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0202,alpha,alpha,alpha,unassigned,unassigned,unassigned
human1_lib1.final_cell_0203,ductal,ductal,ductal,unassigned,unassigned,unassigned
human1_lib1.final_cell_0204,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0205,alpha,alpha,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0206,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0207,ductal,ductal,ductal,unassigned,unassigned,unassigned
human1_lib1.final_cell_0208,alpha,alpha,alpha,unassigned,unassigned,unassigned
human1_lib1.final_cell_0209,ductal,ductal,ductal,unassigned,unassigned,unassigned
human1_lib1.final_cell_0210,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0211,beta,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0212,alpha,alpha,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0213,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0214,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0215,activated_stellate,PSC,mesenchymal,unassigned,unassigned,unassigned
human1_lib1.final_cell_0216,ductal,ductal,ductal,unassigned,unassigned,unassigned
human1_lib1.final_cell_0217,ductal,ductal,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0218,quiescent_stellate,PSC,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0219,activated_stellate,PSC,mesenchymal,unassigned,unassigned,unassigned
human1_lib1.final_cell_0220,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0221,delta,delta,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0222,gamma,gamma,gamma,unassigned,unassigned,unassigned
human1_lib1.final_cell_0223,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0224,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0225,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0226,alpha,alpha,alpha,unassigned,unassigned,unassigned
human1_lib1.final_cell_0227,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0228,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0229,delta,delta,delta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0230,ductal,ductal,ductal,unassigned,unassigned,unassigned
human1_lib1.final_cell_0231,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0232,delta,delta,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0233,delta,delta,delta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0234,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0235,delta,delta,delta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0236,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0237,activated_stellate,PSC,mesenchymal,unassigned,unassigned,unassigned
human1_lib1.final_cell_0238,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0239,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0240,delta,delta,delta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0241,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0242,quiescent_stellate,PSC,mesenchymal,unassigned,unassigned,unassigned
human1_lib1.final_cell_0243,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0244,acinar,acinar,acinar,unassigned,unassigned,unassigned
