,baron-human,segerstolpe,muraro,xin,pollen,li
human1_lib3.final_cell_0435,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0436,alpha,alpha,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0437,beta,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0438,ductal,ductal,ductal,unassigned,unassigned,unassigned
human1_lib3.final_cell_0439,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0440,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib3.final_cell_0441,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0442,gamma,gamma,gamma,unassigned,unassigned,unassigned
human1_lib3.final_cell_0443,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0444,quiescent_stellate,PSC,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0445,ductal,ductal,ductal,unassigned,unassigned,unassigned
human1_lib3.final_cell_0446,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0447,acinar,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0448,ductal,ductal,ductal,unassigned,unassigned,unassigned
human1_lib3.final_cell_0449,endothelial,endothelial,endothelial,unassigned,unassigned,unassigned
human1_lib3.final_cell_0450,acinar,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0451,gamma,gamma,gamma,unassigned,unassigned,unassigned
human1_lib3.final_cell_0452,beta,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0453,beta,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0454,quiescent_stellate,PSC,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0455,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0456,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib3.final_cell_0457,epsilon,epsilon,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0458,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib3.final_cell_0459,alpha,alpha,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0460,alpha,alpha,alpha,unassigned,unassigned,unassigned
human1_lib3.final_cell_0461,delta,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0462,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0463,epsilon,epsilon,epsilon,unassigned,unassigned,unassigned
human1_lib3.final_cell_0464,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0465,alpha,alpha,alpha,unassigned,unassigned,unassigned
human1_lib3.final_cell_0466,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0467,beta,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0468,gamma,gamma,gamma,unassigned,unassigned,unassigned
human1_lib3.final_cell_0469,unassigned,acinar,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0470,beta,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0471,alpha,alpha,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0472,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0473,alpha,alpha,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0474,ductal,ductal,ductal,unassigned,unassigned,unassigned
human1_lib3.final_cell_0475,alpha,alpha,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0476,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0477,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0478,gamma,gamma,gamma,unassigned,unassigned,unassigned
human1_lib3.final_cell_0479,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib3.final_cell_0480,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib3.final_cell_0481,delta,delta,delta,unassigned,unassigned,unassigned
human1_lib3.final_cell_0482,delta,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0483,delta,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0484,quiescent_stellate,PSC,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0485,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0486,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0487,alpha,alpha,alpha,unassigned,unassigned,unassigned
human1_lib3.final_cell_0488,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0489,alpha,alpha,alpha,unassigned,unassigned,unassigned
human1_lib3.final_cell_0490,alpha,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0491,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0492,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0493,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0494,alpha,alpha,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0495,beta,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0496,beta,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0497,quiescent_stellate,PSC,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0498,alpha,alpha,alpha,unassigned,unassigned,unassigned
human1_lib3.final_cell_0499,endothelial,endothelial,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0500,gamma,gamma,gamma,unassigned,unassigned,unassigned
human1_lib3.final_cell_0501,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0502,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib3.final_cell_0503,quiescent_stellate,PSC,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0504,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0505,alpha,alpha,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0506,delta,delta,delta,unassigned,unassigned,unassigned
human1_lib3.final_cell_0507,beta,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0508,acinar,acinar,acinar,unassigned,unassigned,unassigned
human1_lib3.final_cell_0509,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0510,endothelial,endothelial,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0511,endothelial,endothelial,endothelial,unassigned,unassigned,unassigned
human1_lib3.final_cell_0512,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib3.final_cell_0513,beta,unclassified endocrine,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0514,alpha,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0515,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0516,mast,mast,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0517,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0518,alpha,alpha,alpha,unassigned,unassigned,unassigned
human1_lib3.final_cell_0519,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0520,beta,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0521,beta,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0522,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0523,endothelial,endothelial,endothelial,unassigned,unassigned,unassigned
human1_lib3.final_cell_0524,delta,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0525,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib3.final_cell_0526,beta,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0527,beta,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0528,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0529,alpha,unassigned,alpha,unassigned,unassigned,unassigned
human1_lib3.final_cell_0530,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0531,beta,delta,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0532,epsilon,epsilon,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0533,endothelial,endothelial,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0534,quiescent_stellate,PSC,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0535,alpha,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0536,alpha,alpha,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0537,delta,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0538,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib3.final_cell_0539,acinar,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0540,delta,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0541,acinar,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0542,beta,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0543,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0544,unassigned,endothelial,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0545,beta,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0546,macrophage,MHC class II,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0547,acinar,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0548,quiescent_stellate,PSC,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0549,beta,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0550,beta,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0551,beta,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0552,endothelial,endothelial,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0553,beta,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0554,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0555,ductal,ductal,ductal,unassigned,unassigned,unassigned
human1_lib3.final_cell_0556,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0557,beta,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0558,quiescent_stellate,PSC,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0559,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0560,acinar,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0561,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0562,delta,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0563,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0564,beta,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0565,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0566,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0567,quiescent_stellate,PSC,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0568,alpha,alpha,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0569,endothelial,endothelial,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0570,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0571,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0572,gamma,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0573,beta,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0574,quiescent_stellate,PSC,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0575,endothelial,endothelial,endothelial,unassigned,unassigned,unassigned
human1_lib3.final_cell_0576,alpha,alpha,alpha,unassigned,unassigned,unassigned
human1_lib3.final_cell_0577,beta,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0578,ductal,ductal,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0579,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0580,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0581,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0582,quiescent_stellate,PSC,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0583,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0584,epsilon,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0585,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0586,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0587,alpha,alpha,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0588,beta,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0589,endothelial,endothelial,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0590,endothelial,endothelial,endothelial,unassigned,unassigned,unassigned
human1_lib3.final_cell_0591,quiescent_stellate,PSC,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0592,delta,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0593,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0594,epsilon,epsilon,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0595,quiescent_stellate,PSC,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0596,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0597,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0598,ductal,ductal,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0599,alpha,alpha,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0600,acinar,acinar,acinar,unassigned,unassigned,unassigned
human1_lib3.final_cell_0601,acinar,acinar,acinar,unassigned,unassigned,unassigned
human1_lib3.final_cell_0602,endothelial,endothelial,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0603,ductal,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0604,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0605,alpha,alpha,alpha,unassigned,unassigned,unassigned
human1_lib3.final_cell_0606,delta,delta,delta,unassigned,unassigned,unassigned
human1_lib3.final_cell_0607,beta,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0608,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0609,beta,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0610,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0611,quiescent_stellate,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0612,beta,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0613,macrophage,MHC class II,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0614,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0615,endothelial,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0616,alpha,alpha,alpha,unassigned,unassigned,unassigned
human1_lib3.final_cell_0617,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0618,endothelial,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0619,beta,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0620,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0621,endothelial,endothelial,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0622,delta,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0623,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0624,acinar,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0625,endothelial,endothelial,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0626,beta,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0627,endothelial,endothelial,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0628,acinar,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0629,beta,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0630,delta,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0631,quiescent_stellate,PSC,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0632,quiescent_stellate,PSC,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0633,beta,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0634,beta,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0635,quiescent_stellate,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0636,alpha,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0637,quiescent_stellate,PSC,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0638,quiescent_stellate,PSC,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0639,beta,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0640,quiescent_stellate,PSC,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0641,schwann,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0642,beta,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0643,beta,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0644,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0645,beta,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0646,beta,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0647,beta,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0648,beta,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0649,endothelial,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0650,ductal,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0651,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0652,beta,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0653,beta,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0654,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0655,alpha,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0656,quiescent_stellate,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0657,quiescent_stellate,PSC,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0658,beta,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0659,beta,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0660,alpha,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0661,ductal,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0662,quiescent_stellate,PSC,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0663,beta,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0664,endothelial,endothelial,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0665,delta,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0666,beta,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0667,beta,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0668,alpha,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0669,beta,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0670,beta,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0671,endothelial,endothelial,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0672,beta,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0673,endothelial,endothelial,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0674,alpha,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0675,quiescent_stellate,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0676,endothelial,endothelial,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0677,alpha,alpha,alpha,unassigned,unassigned,unassigned
human1_lib3.final_cell_0678,alpha,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0679,ductal,ductal,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0680,quiescent_stellate,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0681,endothelial,endothelial,endothelial,unassigned,unassigned,unassigned
human1_lib3.final_cell_0682,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0683,gamma,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0684,epsilon,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0685,activated_stellate,PSC,mesenchymal,unassigned,unassigned,unassigned
human1_lib3.final_cell_0686,alpha,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0687,activated_stellate,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0688,beta,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0689,beta,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0690,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0691,activated_stellate,PSC,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0692,epsilon,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0693,quiescent_stellate,PSC,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0694,endothelial,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0695,gamma,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0696,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0697,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0698,quiescent_stellate,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0699,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0700,beta,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0701,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0702,beta,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0703,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0704,t_cell,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0705,beta,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0706,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0707,beta,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0708,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0709,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0710,endothelial,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0711,endothelial,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0712,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0713,beta,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0714,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0715,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0716,beta,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0717,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0718,beta,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0719,beta,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0720,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0721,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0722,ductal,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0723,activated_stellate,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0724,beta,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0725,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0726,quiescent_stellate,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0727,quiescent_stellate,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0728,quiescent_stellate,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0729,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0730,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0731,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0732,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0733,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0734,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0735,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0736,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0737,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0738,endothelial,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0739,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib3.final_cell_0740,quiescent_stellate,unassigned,unassigned,unassigned,unassigned,unassigned
human2_lib1.final_cell_0001,delta,delta,delta,unassigned,unassigned,unassigned
human2_lib1.final_cell_0002,delta,delta,delta,unassigned,unassigned,unassigned
human2_lib1.final_cell_0003,alpha,alpha,alpha,unassigned,unassigned,unassigned
human2_lib1.final_cell_0004,delta,delta,delta,unassigned,unassigned,unassigned
human2_lib1.final_cell_0005,delta,delta,delta,unassigned,unassigned,unassigned
human2_lib1.final_cell_0006,delta,delta,unassigned,unassigned,unassigned,unassigned
human2_lib1.final_cell_0007,delta,delta,unassigned,unassigned,unassigned,unassigned
human2_lib1.final_cell_0008,delta,delta,delta,unassigned,unassigned,unassigned
human2_lib1.final_cell_0009,activated_stellate,PSC,mesenchymal,unassigned,unassigned,unassigned
human2_lib1.final_cell_0010,ductal,acinar,acinar,unassigned,unassigned,unassigned
human2_lib1.final_cell_0011,delta,delta,unassigned,unassigned,unassigned,unassigned
human2_lib1.final_cell_0012,delta,delta,delta,unassigned,unassigned,unassigned
human2_lib1.final_cell_0013,alpha,alpha,alpha,unassigned,unassigned,unassigned
human2_lib1.final_cell_0014,delta,delta,delta,unassigned,unassigned,unassigned
