reference,projection,downsample_frac,n_features,kappa,uns_rate,Method
muraro,segerstolpe,10%,0-100,0.845815824760874,7.46944318696243,scmap-cluster
muraro,segerstolpe,10%,0-100,0.860103159687642,7.15255771842463,scmap-cluster
muraro,segerstolpe,10%,0-100,0.842134548963089,6.92621095518334,scmap-cluster
muraro,segerstolpe,10%,0-100,0.861086726570849,8.64644635581711,scmap-cluster
muraro,segerstolpe,10%,0-100,0.836253005283301,7.69578995020371,scmap-cluster
muraro,segerstolpe,10%,0-100,0.864990684586131,8.64644635581711,scmap-cluster
muraro,segerstolpe,10%,0-100,0.843450258368229,5.7039384336804,scmap-cluster
muraro,segerstolpe,10%,0-100,0.867162467863009,8.64644635581711,scmap-cluster
muraro,segerstolpe,10%,0-100,0.914516151494683,3.34993209597103,scmap-cluster
muraro,segerstolpe,10%,0-100,0.81914030170071,7.69578995020371,scmap-cluster
muraro,segerstolpe,10%,0-100,0.912187626295443,2.67089180624717,scmap-cluster
muraro,segerstolpe,10%,0-100,0.911193812298681,2.98777727478497,scmap-cluster
muraro,segerstolpe,10%,0-100,0.850844885826511,7.83159800814848,scmap-cluster
muraro,segerstolpe,10%,0-100,0.907553200516684,4.02897238569488,scmap-cluster
muraro,segerstolpe,10%,0-100,0.885238092453799,9.55183340878225,scmap-cluster
muraro,segerstolpe,10%,0-100,0.850959998617846,7.69578995020371,scmap-cluster
muraro,segerstolpe,10%,0-100,0.910236794546775,2.80669986419194,scmap-cluster
muraro,segerstolpe,10%,0-100,0.873820232456156,10.9551833408782,scmap-cluster
muraro,segerstolpe,10%,0-100,0.913521684301952,18.2888184698959,scmap-cluster
muraro,segerstolpe,10%,0-100,0.844595862268164,6.337709370756,scmap-cluster
muraro,segerstolpe,10%,0-100,0.884183931999686,10.4119511090991,scmap-cluster
muraro,segerstolpe,10%,0-100,0.830515669060339,6.06609325486646,scmap-cluster
muraro,segerstolpe,10%,0-100,0.860167186558493,7.69578995020371,scmap-cluster
muraro,segerstolpe,10%,0-100,0.832136261164611,6.83567224988683,scmap-cluster
muraro,segerstolpe,10%,0-100,0.867378928403168,8.82752376641014,scmap-cluster
muraro,segerstolpe,10%,0-100,0.870675992893975,9.1896785875962,scmap-cluster
muraro,segerstolpe,10%,0-100,0.866339263677929,9.59710276143051,scmap-cluster
muraro,segerstolpe,10%,0-100,0.867005546064314,8.28429153463106,scmap-cluster
muraro,segerstolpe,10%,0-100,0.855280765983131,8.32956088727931,scmap-cluster
muraro,segerstolpe,10%,0-100,0.842346630991695,7.01674966047986,scmap-cluster
muraro,segerstolpe,10%,0-100,0.903958720975863,2.26346763241286,scmap-cluster
muraro,segerstolpe,10%,0-100,0.844101130122413,7.55998189225894,scmap-cluster
muraro,segerstolpe,10%,0-100,0.85584443164786,8.69171570846537,scmap-cluster
muraro,segerstolpe,10%,0-100,0.905801982599988,2.80669986419194,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.924328837274889,1.85604345857854,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.92246574921454,1.85604345857854,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.92305008095974,1.9013128112268,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.924310523708305,1.9013128112268,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.927257760362199,1.99185151652331,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.924274700495433,1.9013128112268,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.926662458059739,1.99185151652331,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.924887747283726,1.9013128112268,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.924876470624415,1.9013128112268,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.924894948294492,1.9013128112268,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.925516685189155,1.9013128112268,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.925531730616642,1.9013128112268,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.924913605713438,1.9013128112268,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.9260399019951,1.99185151652331,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.926634956784457,1.99185151652331,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.926100059063574,1.94658216387506,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.926027142518668,1.99185151652331,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.926616953748498,1.99185151652331,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.926021776424045,1.99185151652331,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.926596770576362,2.03712086917157,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.924746693546986,1.99185151652331,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.925417047804005,1.99185151652331,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.924287738736447,1.9013128112268,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.925376710371011,1.99185151652331,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.926597131974134,1.99185151652331,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.92408462333344,2.03712086917157,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.924087712508802,2.03712086917157,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.92534400205536,2.03712086917157,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.926658721233149,1.99185151652331,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.926613989709187,2.03712086917157,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.926537915819345,2.08239022181983,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.926508757218086,2.12765957446809,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.925945498660608,2.03712086917157,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.926599116309918,2.03712086917157,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.928341302089741,2.12765957446809,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.925393728472899,1.99185151652331,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.927087832001727,2.17292892711634,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.925320145581991,2.12765957446809,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.928423326945162,2.03712086917157,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.926541833373797,2.08239022181983,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.927587479097491,2.26346763241286,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.92713798370715,2.12765957446809,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.928829329631526,2.26346763241286,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.928270302125044,2.17292892711634,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.928809562209513,2.30873698506111,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.929342675541991,2.35400633770937,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.929362367248695,2.39927569035763,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.930100966990348,2.26346763241286,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.929943392995696,2.39927569035763,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.928157383191281,2.30873698506111,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.929965950670823,2.35400633770937,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.928731668883486,2.35400633770937,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.929334453986566,2.35400633770937,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.929227324390167,2.58035310095066,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.930577531980759,2.39927569035763,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.930518906425792,2.44454504300588,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.928796295146832,2.35400633770937,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.929905953913995,2.44454504300588,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.929373927922522,2.35400633770937,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.928653812741832,2.44454504300588,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.931108871994883,2.48981439565414,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.927523044888627,2.39927569035763,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.929959601204195,2.39927569035763,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.929373927922522,2.35400633770937,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.930468723220237,2.5350837483024,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.930444486826813,2.5350837483024,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.929386185981431,2.35400633770937,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.929927774642408,2.44454504300588,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.928698383409426,2.39927569035763,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.932312453213674,2.5350837483024,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.929876342415666,2.44454504300588,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.929251389409567,2.48981439565414,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.929213989263,2.48981439565414,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.928711118546888,2.39927569035763,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.930284605661408,2.62562245359891,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.929156143852487,2.58035310095066,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.931638321612789,2.58035310095066,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.931654294773747,2.58035310095066,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.930447049195333,2.5350837483024,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.930297021143237,2.67089180624717,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.930941615615537,2.62562245359891,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.930502887297109,2.44454504300588,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.92970418438638,2.62562245359891,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.93158468716878,2.58035310095066,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.92988630548297,2.48981439565414,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.929631219205654,2.67089180624717,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.930430804526156,2.5350837483024,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.930419693168404,2.48981439565414,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.930407967094951,2.62562245359891,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.929765244951491,2.5350837483024,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.931501395227057,2.71616115889543,scmap-cluster
