,baron-human,segerstolpe,muraro,xin,pollen,li
human1_lib1.final_cell_0083,0.85,0.79,0.73,0.61,NA,0.41
human1_lib1.final_cell_0084,0.91,0.69,0.72,0.5,0.54,0.28
human1_lib1.final_cell_0085,0.84,0.82,0.75,0.67,0.7,0.53
human1_lib1.final_cell_0086,0.85,0.8,0.76,0.66,NA,0.27
human1_lib1.final_cell_0087,0.84,0.75,0.74,0.59,NA,0.41
human1_lib1.final_cell_0088,0.85,0.79,0.74,0.58,0.58,0.3
human1_lib1.final_cell_0089,0.72,0.69,0.6,0.6,0.32,0.2
human1_lib1.final_cell_0090,0.88,0.78,0.71,0.68,0.39,0.27
human1_lib1.final_cell_0091,0.86,0.81,0.75,0.61,NA,0.2
human1_lib1.final_cell_0092,0.82,0.78,0.73,0.64,0.34,0.22
human1_lib1.final_cell_0093,0.86,0.78,0.73,0.66,0.33,0.27
human1_lib1.final_cell_0094,0.8,0.74,0.67,0.59,0.62,NA
human1_lib1.final_cell_0095,0.84,0.78,0.69,0.58,0.37,0.41
human1_lib1.final_cell_0096,0.61,0.68,0.51,0.6,0.58,NA
human1_lib1.final_cell_0097,0.84,0.78,0.73,0.55,NA,0.27
human1_lib1.final_cell_0098,0.78,0.72,0.66,0.65,0.61,0.38
human1_lib1.final_cell_0099,0.79,0.76,0.72,0.59,0.3,0.27
human1_lib1.final_cell_0100,0.84,0.78,0.7,0.57,0.61,0.47
human1_lib1.final_cell_0101,0.84,0.79,0.75,0.61,0.4,0.46
human1_lib1.final_cell_0102,0.8,0.78,0.75,0.65,0.3,0.21
human1_lib1.final_cell_0103,0.84,0.81,0.79,0.67,0.62,0.42
human1_lib1.final_cell_0104,0.84,0.78,0.74,0.59,0.56,0.3
human1_lib1.final_cell_0105,0.85,0.76,0.69,0.54,0.35,0.19
human1_lib1.final_cell_0106,0.84,0.8,0.75,0.6,NA,0.39
human1_lib1.final_cell_0107,0.71,0.67,0.58,0.56,0.32,0.36
human1_lib1.final_cell_0108,0.86,0.81,0.8,0.64,NA,0.41
human1_lib1.final_cell_0109,0.85,0.72,0.7,0.51,NA,0.43
human1_lib1.final_cell_0110,0.81,0.77,0.72,0.62,0.31,0.29
human1_lib1.final_cell_0111,0.86,0.79,0.72,0.64,0.64,0.23
human1_lib1.final_cell_0112,0.79,0.77,0.69,0.64,0.33,0.22
human1_lib1.final_cell_0113,0.85,0.77,0.78,0.62,0.59,0.41
human1_lib1.final_cell_0114,0.84,0.76,0.7,0.59,0.59,0.22
human1_lib1.final_cell_0115,0.86,0.77,0.7,0.6,0.33,0.2
human1_lib1.final_cell_0116,0.85,0.78,0.71,0.63,0.38,0.39
human1_lib1.final_cell_0117,0.82,0.74,0.71,0.57,0.54,0.24
human1_lib1.final_cell_0118,0.86,0.79,0.73,0.66,0.36,NA
human1_lib1.final_cell_0119,0.84,0.77,0.73,0.62,0.34,0.24
human1_lib1.final_cell_0120,0.78,0.73,0.7,0.58,0.57,0.24
human1_lib1.final_cell_0121,0.86,0.78,0.69,0.65,0.37,0.23
human1_lib1.final_cell_0122,0.85,0.8,0.73,0.66,0.63,NA
