,baron-human,segerstolpe,muraro,xin,pollen,li
human1_lib2.final_cell_0265,0.81,0.81,0.79,0.67,0.43,0.42
human1_lib2.final_cell_0266,0.85,0.76,0.7,0.54,0.55,0.18
human1_lib2.final_cell_0267,0.81,0.77,0.69,0.66,0.61,0.43
human1_lib2.final_cell_0268,0.79,0.71,0.67,0.54,NA,0.44
human1_lib2.final_cell_0269,0.81,0.74,0.69,0.54,0.54,0.16
human1_lib2.final_cell_0270,0.81,0.78,0.76,0.58,0.52,0.26
human1_lib2.final_cell_0271,0.81,0.74,0.7,0.56,0.55,0.23
human1_lib2.final_cell_0272,0.7,0.7,0.44,0.58,0.59,0.44
human1_lib2.final_cell_0273,0.82,0.73,0.71,0.63,NA,0.4
human1_lib2.final_cell_0274,0.8,0.75,0.71,0.57,NA,NA
human1_lib2.final_cell_0275,0.79,0.78,0.71,0.65,0.62,0.44
human1_lib2.final_cell_0276,0.81,0.74,0.72,0.55,NA,0.42
human1_lib2.final_cell_0277,0.83,0.74,0.69,0.59,NA,0.4
human1_lib2.final_cell_0278,0.89,0.64,0.66,0.46,0.53,0.39
human1_lib2.final_cell_0279,0.84,0.76,0.68,0.61,0.6,0.4
human1_lib2.final_cell_0280,0.85,0.78,0.72,0.57,0.56,0.19
human1_lib2.final_cell_0281,0.82,0.75,0.69,0.63,0.58,0.2
human1_lib2.final_cell_0282,0.85,0.77,0.7,0.55,0.56,0.24
human1_lib2.final_cell_0283,0.8,0.7,0.64,0.51,0.5,0.21
human1_lib2.final_cell_0284,0.81,0.78,0.75,0.65,0.61,0.46
human1_lib2.final_cell_0285,0.85,0.78,0.72,0.56,0.55,0.19
human1_lib2.final_cell_0286,0.76,0.72,0.64,0.59,NA,0.24
human1_lib2.final_cell_0287,0.86,0.83,0.47,0.56,0.57,0.44
human1_lib2.final_cell_0288,0.8,0.73,0.73,0.56,0.53,0.21
human1_lib2.final_cell_0289,0.68,0.68,0.56,0.61,0.61,0.42
human1_lib2.final_cell_0290,0.76,0.72,0.64,0.63,NA,0.42
human1_lib2.final_cell_0291,0.78,0.76,0.74,0.6,0.57,0.22
human1_lib2.final_cell_0292,0.82,0.75,0.73,0.27,0.36,0.47
human1_lib2.final_cell_0293,0.77,0.77,0.66,0.66,0.62,0.43
human1_lib2.final_cell_0294,0.82,0.77,0.7,0.66,0.36,0.44
human1_lib2.final_cell_0295,0.8,0.75,0.69,0.61,NA,0.24
human1_lib2.final_cell_0296,0.82,0.84,0.82,0.66,0.6,0.47
human1_lib2.final_cell_0297,0.76,0.7,0.67,0.58,0.53,0.19
human1_lib2.final_cell_0298,0.74,0.75,0.68,0.6,0.33,0.21
human1_lib2.final_cell_0299,0.77,0.7,0.6,0.52,NA,0.41
human1_lib2.final_cell_0300,0.82,0.77,0.71,0.64,0.37,0.29
human1_lib2.final_cell_0301,0.79,0.75,0.67,0.65,0.3,0.51
human1_lib2.final_cell_0302,0.82,0.81,0.77,0.63,0.59,0.38
human1_lib2.final_cell_0303,0.81,0.8,0.51,0.49,0.52,0.4
human1_lib2.final_cell_0304,0.8,0.71,0.71,0.56,0.3,0.38
human1_lib2.final_cell_0305,0.83,0.73,0.66,0.56,0.55,0.4
human1_lib2.final_cell_0306,0.84,0.77,0.73,0.6,0.32,0.41
human1_lib2.final_cell_0307,0.6,0.61,0.52,0.55,0.54,0.23
human1_lib2.final_cell_0308,0.79,0.77,0.71,0.62,0.36,0.25
human1_lib2.final_cell_0309,0.78,0.75,0.72,NA,0.62,0.52
human1_lib2.final_cell_0310,0.8,0.77,0.73,0.62,0.57,0.41
human1_lib2.final_cell_0311,0.84,0.8,0.76,0.64,0.57,0.27
human1_lib2.final_cell_0312,0.76,0.72,0.64,0.6,0.57,0.42
human1_lib2.final_cell_0313,0.67,0.73,0.37,0.63,0.61,0.29
human1_lib2.final_cell_0314,0.82,0.76,0.73,0.58,0.34,0.41
human1_lib2.final_cell_0315,0.79,0.73,0.68,0.59,0.33,0.46
human1_lib2.final_cell_0316,0.8,0.74,0.68,0.58,0.57,0.28
human1_lib2.final_cell_0317,0.83,0.72,0.68,0.62,0.6,NA
human1_lib2.final_cell_0318,0.79,0.71,0.61,0.55,NA,NA
human1_lib2.final_cell_0319,0.81,0.81,0.8,0.62,0.63,0.49
human1_lib2.final_cell_0320,0.66,0.68,0.57,0.58,0.58,0.37
human1_lib2.final_cell_0321,0.79,0.79,0.77,0.57,0.6,0.32
human1_lib2.final_cell_0322,0.8,0.72,0.63,0.54,0.23,0.17
human1_lib2.final_cell_0323,0.86,0.76,0.67,0.57,0.59,0.36
human1_lib2.final_cell_0324,0.52,0.73,0.58,0.6,0.62,0.32
human1_lib2.final_cell_0325,0.76,0.7,0.63,0.5,0.25,0.42
human1_lib2.final_cell_0326,0.82,0.82,0.78,0.57,0.62,0.47
human1_lib2.final_cell_0327,0.81,0.77,0.71,0.61,0.62,0.41
human1_lib2.final_cell_0328,0.72,0.72,0.65,0.6,0.33,0.27
human1_lib2.final_cell_0329,0.73,0.7,0.68,0.49,NA,0.35
human1_lib2.final_cell_0330,0.8,0.75,0.74,0.55,0.33,0.5
human1_lib2.final_cell_0331,0.8,0.76,0.68,0.6,0.58,0.25
human1_lib2.final_cell_0332,0.78,0.79,0.75,0.64,0.66,0.44
human1_lib2.final_cell_0333,0.79,0.72,0.65,0.59,0.58,0.26
human1_lib2.final_cell_0334,0.81,0.76,0.75,0.59,0.53,0.34
human1_lib2.final_cell_0335,0.8,0.78,0.75,0.52,0.57,0.32
human1_lib2.final_cell_0336,0.8,0.69,0.66,0.57,0.59,NA
human1_lib2.final_cell_0337,0.78,0.72,0.71,0.54,NA,0.26
human1_lib2.final_cell_0338,0.82,0.75,0.74,0.58,0.55,0.42
human1_lib2.final_cell_0339,0.82,0.77,0.76,0.56,0.29,0.32
human1_lib2.final_cell_0340,0.78,0.75,0.75,0.54,0.52,0.38
human1_lib2.final_cell_0341,0.78,0.76,0.69,0.64,0.33,0.41
human1_lib2.final_cell_0342,0.75,0.72,0.65,0.57,0.56,0.39
human1_lib2.final_cell_0343,0.83,0.76,0.48,0.49,0.51,0.24
human1_lib2.final_cell_0344,0.76,0.74,0.67,0.58,0.26,0.41
human1_lib2.final_cell_0345,0.83,0.77,0.71,0.53,0.52,0.37
human1_lib2.final_cell_0346,0.82,0.75,0.68,0.6,0.6,0.55
human1_lib2.final_cell_0347,0.82,0.76,0.74,0.54,NA,0.39
human1_lib2.final_cell_0348,0.82,0.75,0.7,0.57,0.51,NA
human1_lib2.final_cell_0349,0.82,0.78,0.77,0.61,0.57,0.4
human1_lib2.final_cell_0350,0.75,0.65,0.71,0.42,0.42,0.21
human1_lib2.final_cell_0351,0.78,0.76,0.67,0.68,0.4,0.4
human1_lib2.final_cell_0352,0.82,0.77,0.7,0.6,0.6,0.41
human1_lib2.final_cell_0353,0.84,0.79,0.7,0.65,0.39,0.3
human1_lib2.final_cell_0354,0.83,0.78,0.76,0.64,0.58,0.4
human1_lib2.final_cell_0355,0.76,0.71,0.63,0.64,0.59,0.18
human1_lib2.final_cell_0356,0.77,0.73,0.66,0.55,NA,0.38
human1_lib2.final_cell_0357,0.82,0.74,0.67,0.49,0.48,0.33
human1_lib2.final_cell_0358,0.8,0.72,0.7,0.52,0.28,0.39
human1_lib2.final_cell_0359,0.74,0.69,0.62,0.52,0.52,0.4
human1_lib2.final_cell_0360,0.86,0.74,0.5,0.5,0.49,0.42
human1_lib2.final_cell_0361,0.83,0.72,0.65,0.57,0.35,0.19
human1_lib2.final_cell_0362,0.78,0.68,0.71,0.46,0.19,0.36
human1_lib2.final_cell_0363,0.78,0.73,0.7,0.56,NA,0.18
human1_lib2.final_cell_0364,0.78,0.73,0.73,0.53,0.52,NA
human1_lib2.final_cell_0365,0.83,0.78,0.77,0.57,0.3,0.41
human1_lib2.final_cell_0366,0.78,0.72,0.7,0.52,0.49,0.38
human1_lib2.final_cell_0367,0.79,0.74,0.68,0.62,NA,0.45
human1_lib2.final_cell_0368,0.76,0.72,0.59,0.61,0.61,NA
human1_lib2.final_cell_0369,0.83,0.75,0.69,0.55,0.31,0.21
human1_lib2.final_cell_0370,0.77,0.66,0.62,0.5,NA,0.41
human1_lib2.final_cell_0371,0.76,0.76,0.67,0.59,NA,0.39
human1_lib2.final_cell_0372,0.8,0.74,0.72,0.57,0.57,0.24
human1_lib2.final_cell_0373,0.7,0.67,0.54,0.54,0.37,0.33
human1_lib2.final_cell_0374,0.63,0.74,0.64,0.63,0.66,0.55
human1_lib2.final_cell_0375,0.88,0.69,0.74,0.51,0.57,0.4
human1_lib2.final_cell_0376,0.82,0.75,0.74,0.57,NA,0.23
human1_lib2.final_cell_0377,0.91,0.66,0.7,0.49,0.54,0.4
human1_lib2.final_cell_0378,0.8,0.78,0.77,0.66,0.37,0.26
human1_lib2.final_cell_0379,0.79,0.76,0.75,0.56,0.55,0.36
human1_lib2.final_cell_0380,0.74,0.67,0.46,0.46,0.47,0.3
human1_lib2.final_cell_0381,0.81,0.77,0.69,0.65,0.33,0.44
human1_lib2.final_cell_0382,0.84,0.78,0.71,0.62,0.35,0.42
human1_lib2.final_cell_0383,0.89,0.63,0.66,0.43,0.46,0.33
human1_lib2.final_cell_0384,0.79,0.75,0.7,0.55,0.34,0.18
human1_lib2.final_cell_0385,0.8,0.73,0.69,0.57,NA,0.17
human1_lib2.final_cell_0386,0.78,0.77,0.67,0.66,0.6,0.23
human1_lib2.final_cell_0387,0.75,0.66,0.62,0.49,NA,0.13
human1_lib2.final_cell_0388,0.81,0.73,0.72,0.56,NA,0.38
human1_lib2.final_cell_0389,0.79,0.74,0.68,0.56,0.34,0.46
human1_lib2.final_cell_0390,0.76,0.72,0.69,0.56,0.55,0.25
human1_lib2.final_cell_0391,0.82,0.7,0.67,0.56,0.35,NA
human1_lib2.final_cell_0392,0.72,0.54,0.58,0.41,0.36,0.32
human1_lib2.final_cell_0393,0.61,0.64,0.54,0.56,0.54,NA
human1_lib2.final_cell_0394,0.69,0.69,0.62,0.55,0.51,0.38
human1_lib2.final_cell_0395,0.87,0.63,0.63,0.42,0.48,0.38
human1_lib2.final_cell_0396,0.76,0.7,0.64,0.55,0.48,0.17
human1_lib2.final_cell_0397,0.8,0.74,0.72,0.55,0.34,0.18
human1_lib2.final_cell_0398,0.8,0.71,0.65,0.64,0.37,0.23
human1_lib2.final_cell_0399,0.78,0.77,0.76,0.6,NA,0.27
human1_lib2.final_cell_0400,0.78,0.78,0.7,0.65,NA,0.22
human1_lib2.final_cell_0401,0.79,0.8,0.78,0.69,0.4,0.47
human1_lib2.final_cell_0402,0.75,0.73,0.71,0.54,0.56,0.28
human1_lib2.final_cell_0403,0.68,0.68,0.56,0.58,0.29,0.41
human1_lib2.final_cell_0404,0.89,0.7,0.71,0.51,0.34,0.48
human1_lib2.final_cell_0405,0.89,0.62,0.64,0.49,0.52,0.38
human1_lib2.final_cell_0406,0.81,0.74,0.67,0.61,NA,0.39
human1_lib2.final_cell_0407,0.77,0.71,0.68,0.54,0.36,0.42
human1_lib2.final_cell_0408,0.77,0.72,0.54,0.52,0.57,0.45
human1_lib2.final_cell_0409,0.78,0.77,0.72,0.57,0.57,0.27
human1_lib2.final_cell_0410,0.8,0.73,0.74,0.56,NA,0.2
human1_lib2.final_cell_0411,0.58,0.61,0.43,0.45,NA,0.26
human1_lib2.final_cell_0412,0.78,0.73,0.71,0.56,0.65,0.53
human1_lib2.final_cell_0413,0.68,0.64,0.57,0.51,0.25,0.19
human1_lib2.final_cell_0414,0.84,0.77,0.72,0.61,0.37,0.23
human1_lib2.final_cell_0415,0.79,0.75,0.72,0.54,0.52,0.2
human1_lib2.final_cell_0416,0.82,0.74,0.68,0.54,0.54,0.19
human1_lib2.final_cell_0417,0.8,0.76,0.61,0.61,0.59,0.44
human1_lib2.final_cell_0418,0.82,0.76,0.72,0.5,0.56,0.47
human1_lib2.final_cell_0419,0.89,0.67,0.69,0.51,0.54,0.43
human1_lib2.final_cell_0420,0.84,0.78,0.75,0.54,0.53,0.51
human1_lib2.final_cell_0421,0.78,0.68,0.69,0.55,0.28,0.41
human1_lib2.final_cell_0422,0.66,0.63,0.55,0.48,0.28,0.23
human1_lib2.final_cell_0423,0.74,0.68,0.63,0.51,0.48,0.41
human1_lib2.final_cell_0424,0.8,0.73,0.69,0.49,NA,0.39
human1_lib2.final_cell_0425,0.84,0.81,0.7,0.59,0.62,0.42
human1_lib2.final_cell_0426,0.75,0.73,0.68,0.5,0.3,0.14
human1_lib2.final_cell_0427,0.78,0.74,0.7,0.56,0.53,0.17
human1_lib2.final_cell_0428,0.78,0.76,0.75,0.59,0.52,0.21
human1_lib2.final_cell_0429,0.77,0.69,0.67,0.54,0.5,0.35
human1_lib2.final_cell_0430,0.71,0.73,0.66,0.52,0.54,0.41
human1_lib2.final_cell_0431,0.63,0.72,0.57,0.61,0.65,0.5
human1_lib2.final_cell_0432,0.77,0.74,0.67,0.51,0.5,0.26
human1_lib2.final_cell_0433,0.79,0.77,0.71,0.59,0.58,0.42
human1_lib2.final_cell_0434,0.77,0.75,0.66,0.57,0.56,0.39
human1_lib2.final_cell_0435,0.74,0.71,0.66,0.6,0.56,0.37
human1_lib2.final_cell_0436,0.88,0.64,0.69,0.42,0.44,0.37
human1_lib2.final_cell_0437,0.74,0.68,0.52,0.49,0.55,0.4
human1_lib2.final_cell_0438,0.79,0.72,0.67,0.47,0.29,0.35
human1_lib2.final_cell_0439,0.77,NA,0.59,0.6,0.33,0.42
human1_lib2.final_cell_0440,0.81,0.75,0.71,0.56,NA,0.4
human1_lib2.final_cell_0441,0.78,0.74,0.7,0.57,0.61,0.45
human1_lib2.final_cell_0442,0.84,0.73,0.66,0.6,NA,0.23
human1_lib2.final_cell_0443,0.78,0.66,0.69,0.51,0.32,0.3
human1_lib2.final_cell_0444,0.76,NA,0.56,0.57,0.58,0.32
human1_lib2.final_cell_0445,0.66,0.66,0.46,0.43,0.33,0.27
human1_lib2.final_cell_0446,0.76,0.74,0.64,0.54,0.28,0.15
human1_lib2.final_cell_0447,0.73,0.68,0.58,0.56,0.55,0.35
human1_lib2.final_cell_0448,0.79,0.69,0.63,0.51,0.54,0.47
human1_lib2.final_cell_0449,0.8,0.75,0.71,0.61,0.37,0.41
human1_lib2.final_cell_0450,0.82,0.75,0.68,0.58,0.57,NA
human1_lib2.final_cell_0451,0.72,0.72,0.32,0.56,0.57,0.43
human1_lib2.final_cell_0452,0.84,0.75,0.69,0.26,0.57,0.47
human1_lib2.final_cell_0453,0.69,0.68,0.62,0.47,0.46,0.41
human1_lib2.final_cell_0454,0.8,0.67,0.66,0.5,0.49,0.32
human1_lib2.final_cell_0455,0.81,0.76,0.75,0.58,0.59,0.22
human1_lib2.final_cell_0456,0.76,0.7,0.7,0.56,0.51,0.2
human1_lib2.final_cell_0457,0.79,0.78,0.77,0.63,0.35,0.25
human1_lib2.final_cell_0458,0.75,0.71,0.7,0.54,0.49,0.34
human1_lib2.final_cell_0459,0.81,0.78,0.71,0.6,0.53,0.27
human1_lib2.final_cell_0460,0.78,0.74,0.73,NA,0.62,0.46
human1_lib2.final_cell_0461,0.79,0.7,0.68,0.48,0.5,0.23
human1_lib2.final_cell_0462,0.71,0.68,0.49,NA,0.54,0.44
human1_lib2.final_cell_0463,0.74,0.69,0.65,0.59,0.57,0.4
human1_lib2.final_cell_0464,0.78,0.68,0.63,0.55,0.51,0.33
human1_lib2.final_cell_0465,0.66,0.66,0.61,0.42,0.3,0.42
human1_lib2.final_cell_0466,0.84,0.75,0.73,0.5,0.3,0.44
human1_lib2.final_cell_0467,0.7,0.66,0.58,0.53,0.52,0.24
human1_lib2.final_cell_0468,0.6,0.53,0.59,0.32,0.11,NA
human1_lib2.final_cell_0469,0.76,0.77,0.66,0.55,0.59,0.51
human1_lib2.final_cell_0470,0.82,0.8,0.7,0.58,0.6,0.42
human1_lib2.final_cell_0471,0.84,0.64,0.63,0.44,0.48,0.38
human1_lib2.final_cell_0472,0.76,0.74,0.68,0.54,0.56,0.41
human1_lib2.final_cell_0473,0.71,0.56,0.62,0.36,NA,0.3
human1_lib2.final_cell_0474,0.76,0.7,0.71,0.45,0.29,0.33
human1_lib2.final_cell_0475,0.84,0.79,0.75,0.59,0.6,0.44
human1_lib2.final_cell_0476,0.85,0.76,0.71,0.5,0.56,0.25
human1_lib2.final_cell_0477,0.77,0.69,0.62,0.51,NA,0.15
human1_lib2.final_cell_0478,0.55,0.51,0.49,0.26,0.35,0.35
human1_lib2.final_cell_0479,0.77,0.67,0.63,0.52,0.51,0.22
human1_lib2.final_cell_0480,0.84,0.75,0.69,0.52,0.39,0.16
human1_lib2.final_cell_0481,0.67,0.62,0.52,0.46,0.46,0.3
human1_lib2.final_cell_0482,0.72,0.7,0.59,0.59,0.37,0.43
human1_lib2.final_cell_0483,0.76,0.67,0.59,0.46,NA,0.37
human1_lib2.final_cell_0484,0.73,0.72,0.66,0.26,0.51,0.4
human1_lib2.final_cell_0485,0.56,0.61,0.47,0.39,0.27,0.34
human1_lib2.final_cell_0486,0.76,0.71,0.66,0.52,NA,0.32
human1_lib2.final_cell_0487,0.81,0.78,0.71,0.57,0.59,0.25
human1_lib2.final_cell_0488,0.8,0.73,0.67,0.46,NA,0.43
human1_lib2.final_cell_0489,0.8,0.7,0.62,0.56,NA,0.18
human1_lib2.final_cell_0490,0.68,0.73,0.56,0.53,0.56,0.41
human1_lib2.final_cell_0491,0.8,0.72,0.67,0.5,0.52,NA
human1_lib2.final_cell_0492,0.75,0.72,0.63,0.59,0.32,0.42
human1_lib2.final_cell_0493,0.78,0.73,0.62,0.58,0.61,0.5
human1_lib2.final_cell_0494,0.75,0.67,0.62,0.47,0.47,0.36
human1_lib2.final_cell_0495,0.77,0.7,0.63,0.45,0.25,0.16
human1_lib2.final_cell_0496,0.7,0.67,0.58,0.54,0.56,0.38
human1_lib2.final_cell_0497,0.77,0.72,0.63,0.56,0.54,0.35
human1_lib2.final_cell_0498,0.8,0.69,0.7,0.55,0.31,0.39
human1_lib2.final_cell_0499,0.83,0.73,0.31,0.48,NA,0.39
human1_lib2.final_cell_0500,0.66,0.66,0.68,0.41,0.27,0.17
human1_lib2.final_cell_0501,0.62,0.58,0.62,0.27,0.29,0.37
human1_lib2.final_cell_0502,0.69,NA,0.56,0.53,0.24,0.19
human1_lib2.final_cell_0503,0.79,0.73,0.68,0.58,0.56,0.13
human1_lib2.final_cell_0504,0.78,0.74,0.67,0.6,NA,0.38
human1_lib2.final_cell_0505,0.8,0.75,0.69,NA,0.52,0.35
human1_lib2.final_cell_0506,0.78,0.72,0.66,0.55,0.33,0.13
human1_lib2.final_cell_0507,0.73,0.67,0.65,0.45,0.27,0.2
human1_lib2.final_cell_0508,0.77,0.7,0.61,0.56,0.34,0.32
human1_lib2.final_cell_0509,0.72,0.68,0.61,0.44,0.3,0.15
human1_lib2.final_cell_0510,0.81,0.74,0.65,0.58,0.64,0.28
human1_lib2.final_cell_0511,0.75,0.73,0.66,0.55,NA,0.38
human1_lib2.final_cell_0512,0.72,0.64,0.57,0.58,NA,NA
human1_lib2.final_cell_0513,0.68,0.65,0.64,0.54,0.31,0.3
human1_lib2.final_cell_0514,0.67,0.62,0.52,0.4,NA,0.36
human1_lib2.final_cell_0515,0.68,0.65,0.54,0.51,NA,0.2
human1_lib2.final_cell_0516,0.66,0.61,0.48,0.46,NA,0.33
human1_lib2.final_cell_0517,0.84,0.74,0.71,0.48,0.52,0.4
human1_lib2.final_cell_0518,0.52,0.57,0.49,0.43,0.44,0.34
human1_lib2.final_cell_0519,0.72,0.68,0.58,0.56,0.57,0.44
human1_lib2.final_cell_0520,0.68,0.59,0.53,0.39,0.43,0.3
human1_lib2.final_cell_0521,0.6,0.64,0.45,0.52,0.28,0.33
human1_lib2.final_cell_0522,0.73,0.66,0.6,0.49,0.35,0.33
human1_lib2.final_cell_0523,0.63,0.64,0.45,0.45,0.29,0.3
human1_lib2.final_cell_0524,0.66,0.63,0.55,0.55,0.29,0.33
human1_lib2.final_cell_0525,0.76,0.73,0.72,0.46,NA,0.42
human1_lib2.final_cell_0526,0.61,0.64,0.52,0.59,0.35,0.43
human1_lib2.final_cell_0527,0.75,0.67,0.67,0.52,0.27,0.18
human1_lib2.final_cell_0528,0.76,0.69,0.63,0.49,0.48,0.43
human1_lib2.final_cell_0529,0.79,0.73,0.66,0.56,0.36,0.24
human1_lib2.final_cell_0530,0.74,0.7,0.66,NA,0.48,NA
human1_lib2.final_cell_0531,0.76,0.66,0.59,0.5,0.3,0.23
human1_lib2.final_cell_0532,0.77,0.71,0.66,0.52,0.54,0.31
human1_lib2.final_cell_0533,0.78,0.74,0.72,0.51,0.55,0.45
human1_lib2.final_cell_0534,0.65,0.62,0.49,0.44,0.42,0.32
human1_lib2.final_cell_0535,0.8,0.68,0.69,0.49,0.48,0.38
human1_lib2.final_cell_0536,0.79,0.66,0.66,0.5,0.47,0.35
human1_lib2.final_cell_0537,0.74,0.7,0.7,0.25,0.52,0.4
human1_lib2.final_cell_0538,0.75,0.65,0.61,0.51,0.53,0.26
human1_lib2.final_cell_0539,0.74,0.7,0.63,0.52,0.55,0.35
human1_lib2.final_cell_0540,0.76,NA,0.6,0.54,0.29,0.17
human1_lib2.final_cell_0541,0.72,0.65,0.57,0.52,0.36,NA
human1_lib2.final_cell_0542,0.78,0.66,0.65,0.46,0.53,0.45
human1_lib2.final_cell_0543,0.76,0.67,0.63,0.55,0.28,0.33
human1_lib2.final_cell_0544,0.82,0.75,0.51,0.56,0.61,0.44
human1_lib2.final_cell_0545,0.69,0.61,0.53,0.46,0.49,0.27
human1_lib2.final_cell_0546,0.75,0.71,0.61,0.43,NA,0.29
human1_lib2.final_cell_0547,0.78,0.69,0.63,0.51,0.31,0.48
human1_lib2.final_cell_0548,0.68,0.64,0.59,0.52,0.32,NA
human1_lib2.final_cell_0549,0.79,0.7,0.72,0.5,0.43,0.38
human1_lib2.final_cell_0550,0.84,0.69,0.69,0.2,0.51,0.24
human1_lib2.final_cell_0551,0.79,0.74,0.68,0.55,0.54,0.27
human1_lib2.final_cell_0552,0.72,0.65,NA,0.39,0.39,0.18
human1_lib2.final_cell_0553,0.78,0.7,0.62,0.49,0.26,0.33
human1_lib2.final_cell_0554,0.76,0.69,0.72,0.48,0.51,0.34
human1_lib2.final_cell_0555,0.69,0.65,0.54,0.49,0.49,0.48
human1_lib2.final_cell_0556,0.64,0.62,0.57,0.48,0.28,0.35
human1_lib2.final_cell_0557,0.75,0.68,0.58,0.52,0.51,0.2
human1_lib2.final_cell_0558,0.74,0.65,0.62,0.49,0.45,0.36
human1_lib2.final_cell_0559,0.77,0.71,0.64,0.54,0.38,0.22
human1_lib2.final_cell_0560,0.78,0.72,0.66,0.54,0.33,0.3
human1_lib2.final_cell_0561,0.63,0.68,0.6,0.55,0.26,0.21
human1_lib2.final_cell_0562,0.79,0.69,0.61,0.43,0.5,0.42
human1_lib2.final_cell_0563,0.79,0.74,0.68,0.55,0.55,0.46
human1_lib2.final_cell_0564,0.76,0.69,0.64,0.48,0.32,0.23
human1_lib2.final_cell_0565,0.7,0.68,0.56,0.54,0.31,0.24
human1_lib2.final_cell_0566,0.8,0.68,0.69,0.51,0.52,0.25
human1_lib2.final_cell_0567,0.8,0.7,0.59,0.2,0.51,0.44
human1_lib2.final_cell_0568,0.77,0.68,0.6,0.44,0.5,0.36
human1_lib2.final_cell_0569,0.82,0.7,0.63,0.45,0.5,0.22
human1_lib2.final_cell_0570,0.8,0.71,0.65,NA,0.51,0.38
human1_lib2.final_cell_0571,0.81,0.72,0.63,0.51,0.54,0.22
human1_lib2.final_cell_0572,0.74,0.69,0.68,0.25,0.56,0.42
human1_lib2.final_cell_0573,0.67,0.61,0.53,0.55,NA,0.33
human1_lib2.final_cell_0574,0.73,0.69,0.67,0.26,0.48,0.4
human1_lib2.final_cell_0575,0.78,0.71,0.54,0.53,0.58,0.46
human1_lib2.final_cell_0576,0.71,0.63,0.54,0.51,0.49,0.22
human1_lib2.final_cell_0577,0.81,0.72,0.65,0.49,0.54,0.44
human1_lib2.final_cell_0578,0.79,0.74,0.64,0.5,0.56,0.39
human1_lib2.final_cell_0579,0.72,0.62,0.51,0.49,NA,0.32
human1_lib2.final_cell_0580,0.75,0.66,0.55,0.51,0.51,0.36
human1_lib2.final_cell_0581,0.73,0.68,0.63,0.5,0.46,0.36
human1_lib2.final_cell_0582,0.81,0.6,0.6,0.47,0.5,0.36
human1_lib2.final_cell_0583,0.76,0.67,0.72,0.48,0.28,0.35
human1_lib2.final_cell_0584,0.7,0.64,0.58,0.42,0.46,0.37
human1_lib2.final_cell_0585,0.76,0.72,0.64,0.47,0.34,0.38
human1_lib2.final_cell_0586,0.77,0.69,0.6,0.55,0.56,0.37
human1_lib2.final_cell_0587,0.78,0.73,0.67,0.48,0.5,0.48
human1_lib2.final_cell_0588,0.72,0.65,0.57,0.51,NA,0.33
human1_lib2.final_cell_0589,0.78,0.68,0.6,0.49,0.48,NA
human1_lib2.final_cell_0590,0.79,0.71,0.64,0.42,0.49,0.37
human1_lib2.final_cell_0591,0.69,0.64,0.64,0.51,0.5,0.23
human1_lib2.final_cell_0592,0.74,0.62,0.51,0.47,0.49,0.43
human1_lib2.final_cell_0593,0.76,0.67,0.62,0.44,0.5,0.45
human1_lib2.final_cell_0594,0.7,0.62,0.48,0.45,0.48,0.36
human1_lib2.final_cell_0595,0.79,0.69,0.63,0.48,NA,0.42
human1_lib2.final_cell_0596,0.75,0.64,0.56,0.37,0.4,0.18
human1_lib2.final_cell_0597,0.73,0.67,0.6,0.48,0.47,0.15
human1_lib2.final_cell_0598,0.74,0.66,0.57,0.43,0.43,0.46
human1_lib2.final_cell_0599,0.71,0.64,0.58,0.5,0.3,NA
human1_lib2.final_cell_0600,0.7,0.66,0.53,NA,NA,0.39
human1_lib2.final_cell_0601,0.74,0.6,0.52,0.45,0.28,0.3
human1_lib2.final_cell_0602,0.72,0.67,0.56,0.55,0.26,NA
human1_lib2.final_cell_0603,0.76,0.65,0.67,0.46,0.3,0.18
human1_lib2.final_cell_0604,0.65,0.64,0.54,0.49,0.49,0.31
human1_lib2.final_cell_0605,0.71,0.63,0.57,0.48,0.43,NA
human1_lib2.final_cell_0606,0.72,0.67,0.59,0.52,0.51,0.21
human1_lib2.final_cell_0607,0.76,0.69,0.64,0.44,0.47,0.4
human1_lib2.final_cell_0608,0.76,0.66,0.67,0.48,0.18,NA
human1_lib2.final_cell_0609,0.72,0.63,0.54,0.5,NA,0.29
human1_lib2.final_cell_0610,0.73,0.65,0.6,0.43,0.44,0.34
human1_lib2.final_cell_0611,0.79,0.67,0.67,NA,0.44,0.22
human1_lib2.final_cell_0612,0.72,0.68,0.61,0.5,0.55,0.47
human1_lib2.final_cell_0613,0.7,0.67,0.64,0.46,0.48,0.34
human1_lib2.final_cell_0614,0.78,0.69,0.64,0.47,0.41,0.25
human1_lib2.final_cell_0615,0.73,0.66,0.63,0.53,0.34,0.33
human1_lib2.final_cell_0616,0.72,0.59,0.58,0.46,NA,0.38
human1_lib2.final_cell_0617,0.65,0.64,0.44,0.48,NA,0.3
human1_lib2.final_cell_0618,0.75,0.68,0.57,0.39,0.43,0.2
human1_lib2.final_cell_0619,0.72,0.62,0.6,0.45,NA,0.2
human1_lib2.final_cell_0620,0.66,0.61,0.49,0.38,NA,0.29
human1_lib2.final_cell_0621,0.67,0.61,0.51,0.5,0.47,0.14
human1_lib2.final_cell_0622,0.77,0.7,0.63,0.47,0.28,0.16
human1_lib2.final_cell_0623,0.7,0.67,0.61,0.49,0.43,0.17
human1_lib2.final_cell_0624,0.62,0.59,0.58,0.48,0.24,0.3
