reference,mapping,threshold,n_features,n_nn,accuracy
baron-human,baron-human,0.5,100,5,38.6626210759715
baron-human,baron-human,0.5,100,5,39.5962189286965
baron-human,baron-human,0.5,100,5,38.5109114249037
baron-human,baron-human,0.5,100,5,38.7676508344031
baron-human,baron-human,0.5,100,5,38.1491422569728
baron-human,baron-human,0.5,100,5,39.1994398412884
baron-human,baron-human,0.5,100,5,39.7595985529233
baron-human,baron-human,0.5,100,5,38.7909907807212
baron-human,baron-human,0.5,100,5,38.8376706733575
baron-human,baron-human,0.5,100,5,37.8573929279963
baron-human,baron-human,0.5,100,5,39.2694596802427
baron-human,baron-human,0.5,100,5,38.9660403781071
baron-human,baron-human,0.5,100,5,38.3358618275178
baron-human,baron-human,0.5,100,5,38.2541720154044
baron-human,baron-human,0.5,100,5,39.2461197339246
baron-human,baron-human,0.5,100,5,38.8026607538803
baron-human,baron-human,0.5,100,5,39.2927996265609
baron-human,baron-human,0.5,100,5,39.3628194655152
baron-human,baron-human,0.5,100,5,39.5845489555374
baron-human,baron-human,0.5,100,5,38.7093009686078
baron-human,baron-human,0.5,100,5,39.2811296534018
baron-human,baron-human,0.5,100,5,39.6428988213327
baron-human,baron-human,0.5,100,5,38.5225813980628
baron-human,baron-human,0.5,100,5,38.9310304586299
baron-human,baron-human,0.5,100,5,38.3592017738359
baron-human,baron-human,0.5,100,5,39.3861594118334
baron-human,baron-human,0.5,100,5,39.9229781771502
baron-human,baron-human,0.5,100,5,38.8143307270393
baron-human,baron-human,0.5,100,5,38.4642315322675
baron-human,baron-human,0.5,100,5,39.5962189286965
baron-human,baron-human,0.5,100,5,39.0243902439024
baron-human,baron-human,0.5,100,5,39.2461197339246
baron-human,baron-human,0.5,100,5,39.3394795191971
baron-human,baron-human,0.5,100,5,38.5225813980628
baron-human,baron-human,0.5,100,5,38.6509511028125
baron-human,baron-human,0.5,100,5,39.0944100828568
baron-human,baron-human,0.5,100,5,39.1760998949702
baron-human,baron-human,0.5,100,5,38.8843505659937
baron-human,baron-human,0.5,100,5,39.6545687944918
baron-human,baron-human,0.5,100,5,39.6195588750146
baron-human,baron-human,0.5,100,5,38.9193604854709
baron-human,baron-human,0.5,100,5,39.3044695997199
baron-human,baron-human,0.5,100,5,38.7209709417668
baron-human,baron-human,0.5,100,5,39.0243902439024
baron-human,baron-human,0.5,100,5,39.0127202707434
baron-human,baron-human,0.5,100,5,38.6742910491306
baron-human,baron-human,0.5,100,5,38.0324425253822
baron-human,baron-human,0.5,100,5,39.3744894386743
baron-human,baron-human,0.5,100,5,38.8143307270393
baron-human,baron-human,0.5,100,5,39.0594001633796
baron-human,baron-human,0.5,100,5,39.701248687128
baron-human,baron-human,0.5,100,5,38.8843505659937
baron-human,baron-human,0.5,100,5,40.0046679892636
baron-human,baron-human,0.5,100,5,39.316139572879
baron-human,baron-human,0.5,100,5,39.5612090092193
baron-human,baron-human,0.5,100,5,39.4678492239468
baron-human,baron-human,0.5,100,5,39.327809546038
baron-human,baron-human,0.5,100,5,38.3942116933131
baron-human,baron-human,0.5,100,5,39.3394795191971
baron-human,baron-human,0.5,100,5,38.744310888085
baron-human,baron-human,0.5,100,5,39.0243902439024
baron-human,baron-human,0.5,100,5,39.0360602170615
baron-human,baron-human,0.5,100,5,39.4678492239468
baron-human,baron-human,0.5,100,5,39.3861594118334
baron-human,baron-human,0.5,100,5,39.0477301902206
baron-human,baron-human,0.5,100,5,39.1410899754931
baron-human,baron-human,0.5,100,5,38.8376706733575
