reference,mapping,threshold,n_features,kappa,uns_rate,Method
xin,segerstolpe,0.5,1000-2000,0.81677057135221,26.8447261204165,scmap
xin,segerstolpe,0.5,ALL,0.542533482278639,5.43232231779086,scmap
xin,segerstolpe,0.5,2000-5000,0.641959001261953,15.9800814848348,scmap
xin,segerstolpe,0.5,200-500,0.707734108955269,22.8610230873699,scmap
xin,segerstolpe,0.5,0-100,0.524291126101149,2.80669986419194,scmap
xin,segerstolpe,0.5,500-1000,0.729673252970015,25.169760072431,scmap
xin,segerstolpe,0.6,100-200,0.645432965794036,20.959710276143,scmap
xin,segerstolpe,0.6,1000-2000,0.825383450639778,28.8818469895881,scmap
xin,segerstolpe,0.6,ALL,0.890606856020581,65.0973291081938,scmap
xin,segerstolpe,0.6,2000-5000,0.907458895278794,52.6029877772748,scmap
xin,segerstolpe,0.6,200-500,0.716602943013725,23.947487550928,scmap
xin,segerstolpe,0.6,0-100,0.530753338967263,3.93843368039837,scmap
xin,segerstolpe,0.6,500-1000,0.736445479404695,26.1656858306926,scmap
xin,segerstolpe,0.7,100-200,0.651101546904922,22.181982797646,scmap
xin,segerstolpe,0.7,1000-2000,0.916214705794101,52.9651425984608,scmap
xin,segerstolpe,0.7,ALL,0,100,scmap
xin,segerstolpe,0.7,2000-5000,0,100,scmap
xin,segerstolpe,0.7,200-500,0.717533410080585,26.4825712992304,scmap
xin,segerstolpe,0.7,0-100,0.536172759917203,5.11543684925306,scmap
xin,segerstolpe,0.7,500-1000,0.725233885582345,31.8243549117248,scmap
xin,segerstolpe,0.8,100-200,0.650923964129973,27.6143051154368,scmap
xin,segerstolpe,0.8,1000-2000,0,100,scmap
xin,segerstolpe,0.8,ALL,0,100,scmap
xin,segerstolpe,0.8,2000-5000,0,100,scmap
xin,segerstolpe,0.8,200-500,0.676303862279751,41.4667270258035,scmap
xin,segerstolpe,0.8,0-100,0.535141595477732,9.46129470348574,scmap
xin,segerstolpe,0.8,500-1000,0.860641589138096,67.3155273879584,scmap
xin,segerstolpe,0.9,100-200,0.86498099487688,64.961521050249,scmap
xin,segerstolpe,0.9,1000-2000,0,100,scmap
xin,segerstolpe,0.9,ALL,0,100,scmap
xin,segerstolpe,0.9,2000-5000,0,100,scmap
xin,segerstolpe,0.9,200-500,0,99.3662290629244,scmap
xin,segerstolpe,0.9,0-100,0.658477609165485,46.9895880488909,scmap
xin,segerstolpe,0.9,500-1000,0,100,scmap
segerstolpe,xin,0.5,100-200,0.96564212780831,0.46916890080429,scmap
segerstolpe,xin,0.5,1000-2000,0.990109975017385,0.268096514745308,scmap
segerstolpe,xin,0.5,ALL,0.744435829732323,1.27345844504021,scmap
segerstolpe,xin,0.5,200-500,0.969397405983741,0.0670241286863271,scmap
segerstolpe,xin,0.5,2000-5000,0.988878192094147,0.201072386058981,scmap
segerstolpe,xin,0.5,0-100,0.880579139506829,0.670241286863271,scmap
segerstolpe,xin,0.5,500-1000,0.981530607013325,0.201072386058981,scmap
segerstolpe,xin,0.6,100-200,0.966777653966876,0.603217158176944,scmap
